,,Mandatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Conditional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Provide IRN value if already generated,Invoice Number and Date,,Supplier Details (not required if IRN is provided),,,,,,,Buyer Details (not required if IRN is provided),,,,,,,Transportation Details,,,,,,,,"Product Details, provide only if IRN is not applicable",,,,,,,,,,,,,,,,,,,"Customer Shipping Details, if different from Billing",,,,,,Seller Shipment Details / Dispatch From Details if different from Bill From,,,,,,,,,,
Supply Type,Sub SupplyType,Document Type,Invoice Reference No,Document Number,Document Date,Supplier GSTIN,Supplier Name,Supplier Address1,Supplier Address2,Supplier Place,Supplier Pincode,Supplier State,Customer Billing Name,Customer Billing GSTIN,Customer Billing Address 1,Customer Billing Address 2,Customer Billing City,Customer Billing State,Customer Billing Pincode,Distance Level (Km),Transportation Mode (Road/Rail/Air/Ship),Transporter ID,Transporter Name,Transportation Date,Transporter Doc No,Vehicle Number,Vehicle Type,Product Name,Item Description,HSN code,Item Quantity,Item Unit of Measurement,Taxable Value,CGST Rate,CGST Amount,SGST Rate,SGST Amount,IGST Rate,IGST Amount,CESS Rate,CESS Amount,CESS Non Advol Rate,CESS Non Advol Tax Amount,Other Value,Other Charges - TCS,Total Transaction Value,Customer Shipping Name,Customer Shipping Address 1,Customer Shipping Address 2,Customer Shipping City,Customer Shipping PinCode,Customer Shipping State Code,Supplier Dispatch Name,Supplier Dispatch Address 1,Supplier Dispatch Address 2,Supplier Dispatch Place,Supplier Dispatch PinCode,Supplier Dispatch State Code,My Branch,Replace E-way bill,Is this Supply to/from SEZ unit?,Eway Bill Transaction Type,Sub Type Description
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08011100,226,Units," 2,813.21 ", 2.50 , 70.34 , 2.50 , 70.34 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08013220,4,Units," 1,855.10 ", 2.50 , 46.38 , 2.50 , 46.38 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08021200,25,Units, 752.87 , 6.00 , 45.18 , 6.00 , 45.18 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08023200,1,Units, 223.24 , 2.50 , 5.58 , 2.50 , 5.58 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08025100,1,Units, 221.07 , 6.00 , 13.26 , 6.00 , 13.26 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08041020,10,Units, 886.14 , 6.00 , 53.18 , 6.00 , 53.18 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08041030,1,Units, 71.74 , 6.00 , 4.30 , 6.00 , 4.30 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08062010,30,Units, 210.00 , 2.50 , 5.25 , 2.50 , 5.25 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,08134010,19,Units," 1,344.37 ", -   , -   , -   , -   ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09041110,5,Units, 231.20 , 2.50 , 5.78 , 2.50 , 5.78 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09041130,10,Units," 1,872.80 ", 2.50 , 46.82 , 2.50 , 46.82 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09042110,2,Units, 40.55 , 2.50 , 1.01 , 2.50 , 1.01 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09042211,170,Units," 1,040.76 ", 2.50 , 26.02 , 2.50 , 26.02 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09061010,7,Units, 302.71 , 2.50 , 7.57 , 2.50 , 7.57 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09061110,40,Units, 229.71 , 2.50 , 5.74 , 2.50 , 5.74 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09071010,80,Units," 1,433.53 ", 2.50 , 35.83 , 2.50 , 35.83 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09071020,40,Units, 238.10 , 2.50 , 5.95 , 2.50 , 5.95 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09081110,1,Units, 141.77 , 2.50 , 3.54 , 2.50 , 3.54 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09082200,14,Units, 485.71 , 2.50 , 12.14 , 2.50 , 12.14 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
Outward,Others,Challan,,SBDC290079,18/06/25,29AAWCS7485C1ZJ,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",Karnataka,,562123,Karnataka,SourcingBee Retail Pvt Ltd,29AAWCS7485C1ZJ,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",Bengaluru,Bengaluru,Karnataka,562123,100,Road,,,,,KA01D5209,Regular,,,09083140,120,Units, 765.71 , 2.50 , 19.14 , 2.50 , 19.14 ,,,0,0,,,,," 1,80,338.49 ",SourcingBee Retail Pvt Ltd,"Survey No.73, 20000sq.ft, Harokyathanahalli, Dasanapura Hobli,, Bengaluru",,Bengaluru,562123,29-Karnataka,SourcingBee Retail Pvt Ltd,"Survey.87/1,87/2,88/1,88/2,88/3,89/1,122, FC-Vikrant, Byranhalli,Village Kasaba, Hobli, Nelamangala",,,562123,29-Karnataka,,,,,Stock Transfer
