org_profile_id,org_name
TORGPROF-1304471419,Jumbotail Tech
JumbotailMarketplaceTest,Jumbotail Marketplace Test
JumbotailMarketplaceTech,Jumbotail Marketplace Tech
ORGPROF-1304472150,Hector Beverages Pvt Ltd
ORGPROF-1304473216,RAJESH TRADERS
ORGPROF-1304473219,A.K.A. Rajappa & sons
ORGPROF-1304473220,MAHALAKSHMI ENTERPRISES
ORGPROF-1304473221,CHITRA ENTERPRISES
ORGPROF-1304473223,R.P Agency
ORGPROF-1304473224,SBDummyProd
ORGPROF-1304473226,SourcingBee
ORGPROF-1304473227,JumbotailWarehouse
ORGPROF-1304473232,SRINIVASA TRADERS
ORGPROF-1304473234,SRI BALAMURGESH TRADERS
ORGPROF-1304473236,Golu And Co.
ORGPROF-1304473237,KK TRADING COMPANY
ORGPROF-1304473238,BoltLite-Test
ORGPROF-1304473241,BoltLite-Test
ORGPROF-1304473242,CLEAN POWER TECHNOLOGIES
ORGPROF-1304473243,Sairam Distributors
ORGPROF-1304473244,LAKSHMI SRINIVASA FLOUR MILLS PVT LTD
ORGPROF-1304473245,Jumbotail Wholesale
ORGPROF-1304473247,PRABHU ASSOCIATES
ORGPROF-1304473255,inventory correction jtw
ORGPROF-1304473256,SalesChannelTest
ORGPROF-1304473257,SREE DURGA TRADERS
ORGPROF-1304473258,BIG BAZAAR
ORGPROF-1304473260,SHRI AGENCIES
ORGPROF-1304473263,SRI ANITA TRADERS
ORGPROF-1304473264,BIG BOSS ENTERPRISES
ORGPROF-1304473265,KREATTIVE ENTERPRISES
ORGPROF-1304473268,M.N.SHIVAYOGI TRADERS
ORGPROF-1304473269,RAJYA TRADERS
ORGPROF-1304473273,UNIBIC FOODS INDIA PVT LTD
ORGPROF-1304473274,Natural Spice and Ingredients
ORGPROF-1304473275,Natural Spices & Ingredients
ORGPROF-1304473276,ICON MARKETING
ORGPROF-1304473277,HIRA TRADERS
ORGPROF-1304473279,Jumbotail Wholesale(test)
ORGPROF-1304473280,Manjunatha Enterprises
ORGPROF-1304473281,Mark Asia Foods
ORGPROF-1304473282,JP Marketing
ORGPROF-1304473283,Manjunath & Co
ORGPROF-1304473285,Sri Vinayaka Traders
ORGPROF-1304473296,Mother Dairy fruit & vegetable Pvt Ltd
ORGPROF-1304473297,Jumbotail
ORGPROF-1304473298,Sri Mookambika Trading Co
ORGPROF-1304473299,Sri Padmashree Distributors
ORGPROF-1304473302,Sree Ganesh Traders
ORGPROF-1304473303,Sree Lakshmi Traders
ORGPROF-1304473305,Shri Nanjundeshwara Enterprises
ORGPROF-1304473307,SAB Enterprises
ORGPROF-1304473308,PGS
ORGPROF-1304473311,Metro Wholesale
ORGPROF-1304473313,AKSHAYA TRADERS
ORGPROF-1304473314,Kamal And Sons
ORGPROF-1304473317,Shree Venkateshwara WholeSale
ORGPROF-1304473318,SBM-Test
ORGPROF-1304473319,Local Ramu
ORGPROF-1304473320,Raju
ORGPROF-1304473321,SB_Vendor
ORGPROF-1304473322,raju
ORGPROF-1304473323,raju
ORGPROF-1304473325,raju
ORGPROF-1304473332,SourcingBee
ORGPROF-1304473333,SourcingBee
ORGPROF-1304473334,Jumbotail
ORGPROF-1304473335,DE NEEDS HYPER BAZZAR
ORGPROF-1304473337,SourcingBee
ORGPROF-1304473338,Jumbotail Marketplace
ORGPROF-1304473339,SATVIKK SPECIALITY FOODS PVT LTD
ORGPROF-1304473341,Jumbotail Warehouse
ORGPROF-1304473342,ADILAKSHMI COMMERCIALS
ORGPROF-1304473601,RAAHAT TRADERS
ORGPROF-1304473604,Jyothy Labs Limited
ORGPROF-1304473606,PRASHANTH TRADERS
ORGPROF-1304473607,JIVATI ECOFRESH PRIVATE LIMITED
ORGPROF-1304473608,S L V MARKETING
ORGPROF-1304473610,Sri Veerabhadreshwara Polysacks
ORGPROF-1304473611,Sha Pratapchand Pukraj & Co
ORGPROF-1304473612,Hindustan Unilever Limited-Hyderabad
ORGPROF-1304473614,SRI LAKSHMIRANGANATHA COMMERCIALS
ORGPROF-1304473621,AADIAAR VENTURES
ORGPROF-1304473622,RELIANCE RETAIL LIMITED
ORGPROF-1304473623,Tirupati Enterprises
ORGPROF-1304473624,SASB TRADERS
ORGPROF-1304473626,PRASADZ MARKETING SOLUTIONS
ORGPROF-1304473628,ARYAH TRADING CORPORATION
ORGPROF-1304473629,IWT Vendor
ORGPROF-1304473632,APPAJI ENTERPRISES
ORGPROF-1304473634,M.K. AGROTECH PRIVATE LIMITED
ORGPROF-1304473636,Herbolab India Pvt. Ltd
ORGPROF-1304473637,SRI BALAJI AGENCIES
ORGPROF-1304473639,PATWA MAHENDRAKUMAR RATILAL
ORGPROF-1304473640,PURE TEMPTATION PVT. LTD.
