delivery_date,sorting_type,name,hub,trip_id,trip_ref_number,jpin,title,sender,receiver,cat,productvertical_displaytitle,product_pvid,deadWeight,fmcg_flag,FOOD_flag,planned_quantity,taxable_amount,tonnage
"August 20, 2025",HUB_LEVEL_BULK_SORTING,FC-Pune,PUN_PSL,1901301072,52111,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304388260,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,299,0.001
"August 20, 2025",HUB_LEVEL_BULK_SORTING,FC-Pune,PUN_PSL,1901301071,52166,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304555095,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,99,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301013,57122,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304269396,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,299,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301014,57188,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304276277,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,299,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301012,57133,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1305614799,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,99,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301014,57188,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1305451191,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,299,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301003,57199,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304226012,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,99,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901300995,57177,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1305174229,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,99,0.001
"August 20, 2025",TRIP_LEVEL_BULK_SORTING,FC-Bhubaneswar,OD_BBI_PTI,1901301013,57122,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304247151,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,299,0.001
"August 21, 2025",TRIP_LEVEL_BULK_SORTING,FC-Hyderabad,HYD_NCH,1901301578,6024,JPIN-1304190991,Gold Membership,ORGPROF-1304473903,BZID-1304410828,Membership,SuperClub,PV-1914272664,0.00100000000,FMCG,FOOD,1,99,0.001
