Slno,State,Entity name,GST No,FC Data,FC Name,FC Seller Address 1,FC Seller Address 1.1,Seller Pin code,Location Status,HUB/FC,Hub Name,Name,Fssai,Address,HUB Buyers Address 1,HUB Buyers Address 1.1,HUB Buyers Pin code
1,Bihar,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,10AAPCA1708D1ZB,FC,FC-Patna,"Tauzi No. - 5225/14851, Survey No -1, Plot No. 32/1690, C/o Shree Shankar Swawlambi Cold Storage","96/1691, 95/1692, Mauza Lakhani Bigha, Pargana, Phulwari, Thana Danapur, PO Khagaul, Patna, Patna, Bihar",801105,Active,HUB,BH_PTN_DDJ, Didarganj,1.04E+13,"Khata no.157 & 227 (part) and Khasra noc.Parts of 517 & 600, at Adbul Rehman Pur Katra Bazar Next to Dina Iron Factory Thana Mal Salami Police Station Didarganj, Patna, Patna,Bihar, 800008",Khata no.157 & 227 (part) and Khasra noc.Parts of 517 & 600,"at Adbul Rehman Pur Katra Bazar Next to Dina Iron Factory Thana Mal Salami Police Station Didarganj, Patna, Patna,Bihar",800008
2,Bihar,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,10AAPCA1708D1ZB,FC,FC-Patna,"Tauzi No. - 5225/14851, Survey No -1, Plot No. 32/1690, C/o Shree Shankar Swawlambi Cold Storage","96/1691, 95/1692, Mauza Lakhani Bigha, Pargana, Phulwari, Thana Danapur, PO Khagaul, Patna, Patna, Bihar",801105,Active,HUB,3P_PTN_SMP,Samastipur,1.04E+13,"Jitwarpur Hasanpur,ÊNijamat Prem Agency near Kumhaartoli, Near Kdps school, Samastipur, Patna, Bihar,  848134","Jitwarpur Hasanpur,ÊNijamat Prem Agency near Kumhaartoli","Near Kdps school, Samastipur, Patna, Bihar",848134
3,Jharkhand,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,20AAPCA1708D1ZA,FC,FC-Ranchi,"KK Breweries Pvt Ltd, Tatisilawai Industrial Area, Phase II","Tatisilawai, Ranchi,835103, Jharkhand",835103,Active,HUB,JH_JSD_BLP,Jamshedpur,1.11E+13,"OWM Logistics, Situated at Mouza Bhilaipahari, P.S.M.G.M Muffasil, Thana No 1146,Recorded under, Survey Khata No 44, Plot No 13, Jharkhand, Jamshedpur, East Singhbhum,Jharkhand, 831012","OWM Logistics, Situated at Mouza Bhilaipahari, P.S.M.G.M Muffasil, Thana No 1146","Recorded under, Survey Khata No 44, Plot No 13, Jharkhand, Jamshedpur, East Singhbhum,831012, Jharkhand",831012
4,UP,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,09AAPCA1708D1ZU,FC,FC-Lucknow,"Khasra No. 3119, GindanKhera, Amausi Station Road, Nadarganj Industrial Area",", Lucknow, 226008, Uttar Pradesh",226008,Active,HUB,LKO_SDG,Lucknow,1.27E+13,"Shop No.04 05, 634, Shia Colony Road, Alamnagar, Lucknow, Lucknow, Uttar Pradesh,226017","Shop No.04 05, 634, Shia Colony Road, Alamnagar"," Lucknow, Lucknow, Uttar Pradesh",226017
5,UP,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,09AAPCA1708D1ZU,FC,FC-Lucknow,"Khasra No. 3119, GindanKhera, Amausi Station Road, Nadarganj Industrial Area",", Lucknow, 226008, Uttar Pradesh",226008,Active,HUB,LKO_KNP,Kanpur,1.27E+13,"Part of Premises No.A/5A Panki Industrial Area 4th Built, Over Plot N0.5A Blk-A Scheme No.40 Panki, Kanpur, Kanpur Nagar, Uttar Pradesh, 208020",Part of Premises No.A/5A Panki Industrial Area 4th Built,"Over Plot N0.5A Blk-A Scheme No.40 Panki, Kanpur, Kanpur Nagar, Uttar Pradesh",208020
6,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_SAN,Santosh Nagar,1.36E+13,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens, Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana, 500097","Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens","Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana",500097
7,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_NCH,Nacharam,1.36E+13,"Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village, Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana, 500076","Sy. No.32/1, Plot No.1, 8-142, Road No.1, IDA, Nacharam Village","Uppal Municipality, Hyderabad, Medchal Malkajgiri, Telangana",500076
8,Telangana,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,36AAPCA1708D1ZX,FC,FC-Hyderabad,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Active,HUB,HYD_BAL,Gandhi Nagar,1.36E+13,"Plot No.35 of the Co-Operative Industrial Estate Ltd, Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana, 500037",Plot No.35 of the Co-Operative Industrial Estate Ltd,"Gandhinagar Balanagar Hyderabad, Hyderabad, Hyderabad, Telangana",500037
9,MH,BODEGA RETAIL PRIVATE LIMITED,27AAHCB1357R1Z5,FC,FC-Pune,"Gate No 184/179, Lonikand-Theur Bypass Road","Lonikand, Pune, Maharashtra",412216,Active,HUB,PUN_TLW,Chinchwad,1.15E+13,"Gat No. 163, Talawade Road,Talawade, Haveli, Pune, Pimpri Chinchwad, Pune, Maharashtra, 411062","Gat No. 163, Talawade Road,Talawade, Haveli, Pune","Pimpri Chinchwad, Pune, Maharashtra",411062
10,MH,BODEGA RETAIL PRIVATE LIMITED,27AAHCB1357R1Z5,FC,FC-Pune,"Gate No 184/179, Lonikand-Theur Bypass Road","Lonikand, Pune, Maharashtra",412216,Active,HUB,PUN_PSL,Haveli,1.15E+13,"Survey No.27, Hissa No 9/1B/2, Village Kondhawa Budruk, Taluka Haveli, Pune, Pune, Maharashtra, 411048","Survey No.27, Hissa No 9/1B/2, Village Kondhawa Budruk","Taluka Haveli, Pune, Pune, Maharashtra",411048
