slno,company_name,company_code,state,state_code,city,origin_facility_display_name,origin_facility_code,facility_code,facility_type,status,gstin,fssai_license,address_line1,address_line2,pin_code,place_of_supply,destination_hub_display_name,destination_hub_code,hub_address,hub_pin_code,receiver_company_code,receiver_gstin,default_distance_km,transporter_gstin,effective_from,effective_to,last_updated,notes
1.0,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Bihar,10,Danapur,FC-Patna,PTN,PTN,FULFILLMENT_CENTER,ACTIVE,10AAPCA1708D1ZB,10422000000245.0,"Tauzi No. - 5225/14851, Survey No -1, Plot No. 32/1690, C/o Shree Shankar Swawlambi Cold Storage","96/1691, 95/1692, Mauza Lakhani Bigha, Pargana, Phulwari, Thana Danapur, PO Khagaul, Patna, Patna, Bihar",801105,Patna,,,,,AMOLAKCHAND,,,,,,2025-08-08,
2.0,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Bihar,10,,,,,UNKNOWN,ACTIVE,10AAPCA1708D1ZB,,Khata no.157 & 227 (part) and Khasra noc.Parts of 517 & 600,"at Adbul Rehman Pur Katra Bazar Next to Dina Iron Factory Thana Mal Salami Police Station Didarganj, Patna, Patna,Bihar",800008,,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Gujarat,24,Ahmedabad,FC-Ahmedabad,AMD,AMD,FULFILLMENT_CENTER,ACTIVE,24AAPCA1708D1Z2,10722999000492.0,"Final Plot No 192/1+2 of TP Scheme No 129, Kankumba Hall Road, b/h Jay Ambe Hotel","Daskroi, Aslali, Ahmedabad, Gujarat",382427,Ahmedabad,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Jharkhand,20,Ranchi,FC-Ranchi,RNC,RNC,FULFILLMENT_CENTER,ACTIVE,20AAPCA1708D1ZA,11122001000077.0,"KK Breweries Pvt Ltd, Tatisilawai Industrial Area, Phase II","Tatisilawai, Ranchi, Ranchi, Jharkhand",835103,Ranchi,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Jharkhand,20,Jamshedpur,,,,DISTRIBUTION_HUB,ACTIVE,20AAPCA1708D1ZA,11122999000028.0,"OWM Logistics, Situated at Mouza Bhilaipahari, P.S.M.G.M Muffasil, Thana No 1146","Recorded under, Survey Khata No 44, Plot No 13, Jharkhand, Jamshedpur, East Singhbhum,Jharkhand",831012,Jamshedpur,Jamshedpur,JH_JSD_BLP,"OWM Logistics, Situated at Mouza Bhilaipahari, P.S.M.G.M Muffasil, Thana No 1146,Recorded under, Survey Khata No 44, Plot No 13, Jharkhand, Jamshedpur, East Singhbhum,Jharkhand, 831012",831012,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,UP,09,Lucknow,FC-Lucknow,LKO,LKO,FULFILLMENT_CENTER,ACTIVE,09AAPCA1708D1ZU,12722066000063.0,"Khasra No. 3119, GindanKhera, Amausi Station Road, Nadarganj Industrial Area","Lucknow, Lucknow, Uttar Pradesh",226008,Lucknow,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,UP,09,Lucknow,,,,UNKNOWN,ACTIVE,09AAPCA1708D1ZU,,"Shop No.04 05, 634, Shia Colony Road, Alamnagar","Lucknow, Lucknow, Uttar Pradesh",226017,Lucknow,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,UP,09,Kanpur,,,,UNKNOWN,ACTIVE,09AAPCA1708D1ZU,,Part of Premises No.A/5A Panki Industrial Area 4th Built,"Over Plot N0.5A Blk-A Scheme No.40 Panki, Kanpur, Kanpur Nagar, Uttar Pradesh",208020,Kanpur,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Telangana,36,Shameerpet,FC-Hyderabad,HYD,HYD,FULFILLMENT_CENTER,ACTIVE,36AAPCA1708D1ZX,13622034000025.0,"Survey No 720 721, Deveryamzal, Dist - Medchal, Mandal","Shameerpet, Hyderabad, Medchal Malkajgiri, Telangana",500078,Hyderabad,,,,,AMOLAKCHAND,,,,,,2025-08-08,
,AMOLAKCHAND ANKUR KOTHARI ENTERPRISES PRIVATE LIMITED,AMOLAKCHAND,Telangana,36,Santosh Nagar,,,,DISTRIBUTION_HUB,ACTIVE,36AAPCA1708D1ZX,13624010000565.0,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens","Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana",500097,Hyderabad,Santosh Nagar,HYD_SAN,"Sy. No. 66,72, Door No 5-340/2, Sudhakar Reddy Gardens, Jillelguda Village, Balapur Mandal, Hyderabad, Rangareddy, Telangana, 500097",500097,AMOLAKCHAND,,,,,,2025-08-08,
