delivery_date,name,hub,trip_id,trip_ref_number,jpin,title,sender,orgname,receiver,parcel_type,category,planned_quantity,taxable_amount
"December 4, 2025",FC-Hyderabad,HYD_KMP,"1,901,380,459","61,206",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304489421,BULK,Membership,3,897
"December 4, 2025",FC-Hyderabad,HYD_NCH,"1,901,380,599","60,205",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304315693,BULK,Membership,3,297
"December 4, 2025",FC-Hyderabad,HYD_NCH,"1,901,380,615","60,213",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1305110055,BULK,Membership,3,897
"December 4, 2025",FC-Hyderabad,HYD_NCH,"1,901,380,624","6,001",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304420941,BULK,Membership,3,297
"December 4, 2025",FC-Hyderabad,3P_HYD_BVG,"1,901,380,649","5,603",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304144767,BULK,Membership,3,897
"December 4, 2025",FC-Hyderabad,HYD_NCH,"1,901,380,615","60,213",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1305374993,BULK,Membership,3,297
"December 4, 2025",FC-Hyderabad,HYD_KMP,"1,901,380,463","61,202",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1305180688,BULK,Membership,3,897
"December 4, 2025",FC-Hyderabad,HYD_BAL,"1,901,380,501","63,210",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304634945,BULK,Membership,3,297
"December 4, 2025",FC-Hyderabad,HYD_NCH,"1,901,380,615","60,213",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1304463558,BULK,Membership,3,297
"December 4, 2025",FC-Hyderabad,HYD_BAL,"1,901,380,492","63,208",JPIN-1304190991,Gold Membership,ORGPROF-1304473903,Jumbotail Technologies Pvt Ltd,BZID-1305453575,BULK,Membership,3,297
